사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-11,3호선,321,충무로,0,0,0,0,1,0,0,0,2,0,0,0,1,0,5,0,1,0,5,0,5,0,5,0,7,0,9,0,15,0,18,0,6,0,4,0,6,0,5,0,4,0,0,0,0,0,0,0
2023-11,3호선,322,동대입구,24,4,1833,1043,2816,9410,5929,17777,8773,59122,8295,42982,8590,42273,13042,33361,13534,24181,18392,27759,22466,19735,26078,17604,33037,18258,42531,24137,47250,27959,22754,11859,30527,6735,28145,6145,18350,4652,4717,2790,533,986,4,103,0,0,0,0
2023-11,3호선,323,약수,135,1,6864,1071,10913,6746,27194,14983,39031,35218,28613,22966,19609,16316,18754,15404,20477,15629,20917,16869,19711,18415,20171,20835,23486,25730,28856,32189,34085,43241,19107,28655,15703,18656,16087,16406,11557,15106,5138,8883,806,3332,1,495,0,0,0,0
2023-11,3호선,324,금호,52,11,4527,388,10709,2759,28039,4604,40594,9214,25014,6716,15479,6287,12843,7001,12504,8466,11977,9932,10508,10692,10476,13461,11095,16602,11813,22406,11738,31979,7720,22547,5622,14800,4499,13681,3281,12423,1567,6571,280,1854,0,0,1,0,0,0
2023-11,3호선,325,옥수,245,4,3090,862,9460,4867,23409,8098,33753,13830,23651,10674,15784,8452,13913,10068,13976,11035,13865,12579,13705,13772,14156,15937,15715,19471,17366,25846,16792,33955,10725,25296,8833,16940,7753,14871,5111,13986,2111,6904,443,1954,0,0,0,0,0,0
2023-11,3호선,326,압구정,84,3,2831,2385,7854,24845,16975,51638,26541,146272,22230,155196,25828,81813,31848,64924,38409,52184,43320,54170,53295,50374,62704,49973,74060,50728,99430,59928,138985,63849,95429,35266,73446,17262,54878,14134,37274,11747,11642,6049,1678,2354,1,253,0,0,0,0
2023-11,3호선,327,신사,50,4,3787,1546,6538,19238,11703,44362,18312,105509,16482,135801,19456,71288,24406,50695,29308,45215,35469,50483,43312,46561,51005,42983,63304,47381,95165,58207,126681,68401,90333,37601,62725,18820,64595,14605,53261,11598,24033,7659,3463,3327,1,18,0,0,0,0
2023-11,3호선,328,잠원,2,0,1180,865,4755,8460,13006,7822,20952,10009,12769,7099,8818,4851,8908,5007,8582,6079,8157,7140,6988,6836,8559,7912,11451,8960,12901,11788,9248,14578,5042,10664,3577,6675,3384,7067,2373,7334,747,3564,100,1231,0,9,0,0,0,0
2023-11,3호선,329,고속터미널,144,4,5457,3862,7325,34838,26737,49942,50028,77466,56741,96428,57429,96916,69122,103396,82254,99611,91855,98015,104948,102890,118721,108114,128576,107293,143143,114361,137859,115554,120531,72857,132071,44800,79804,37746,47936,25674,17638,12215,1887,2268,0,18,0,0,0,0
2023-11,3호선,330,교대(법원.검찰청),88,1,1472,648,4435,7097,10980,20763,16058,53316,13964,43444,15295,20222,18502,13460,21393,12174,25817,13550,30391,11465,33051,11599,36108,12528,57382,18393,74500,23922,34836,12126,31519,6375,31021,5467,23855,4789,9003,2730,1529,789,2,7,1,0,0,0
2023-11,3호선,331,남부터미널(예술의전당),24,0,3356,1622,9373,27363,29313,66987,47629,159974,40174,90244,34901,49355,38356,37296,39476,38279,43018,43827,45384,42640,49305,45473,63562,50211,107897,57330,133735,67763,62885,43257,46665,25892,44147,19602,28588,15545,8846,9412,962,2683,0,17,0,0,0,0
2023-11,3호선,332,양재(서초구청),47,1,5252,2843,14069,41295,36362,110203,48746,242227,35234,132988,30400,61203,33275,48940,38954,44384,44813,47933,50087,42025,59387,45163,75971,49881,136781,70727,197394,82149,90395,55237,67266,33563,63163,28985,40627,25927,13699,13658,1479,3879,7,91,0,0,0,0
2023-11,3호선,333,매봉,8,0,1775,786,6916,8934,18360,25555,23519,80849,16434,36298,14139,16891,14570,14603,14249,13419,15043,14046,17446,12472,20097,14182,23700,15072,41257,20314,66785,24953,21027,16934,15221,9947,16907,8844,10011,8333,3247,4356,360,1529,0,54,0,0,0,0
2023-11,3호선,334,도곡,46,12,904,302,2870,5445,9500,13519,12685,19755,8201,15579,6329,7150,6639,7343,6574,6631,6651,7056,7095,6463,9365,7350,12990,7243,16190,8994,17253,10285,8523,8148,5975,4756,5049,4538,3858,3855,986,2225,206,1579,2,223,0,0,0,0
2023-11,3호선,335,대치,22,2,3255,740,13338,7962,29606,14182,31912,28445,19261,19230,15431,14822,14406,14060,16168,18335,16816,22315,16348,19904,18750,23121,22503,28640,30495,34619,29185,35258,19877,25434,14510,14681,17009,13833,28056,11681,3119,6759,396,2171,0,6,0,0,0,0
2023-11,3호선,336,학여울,3,0,552,250,1881,1711,4818,3738,5413,9314,3421,6423,2947,5162,3336,4118,3881,4563,4317,4764,4566,4776,5784,3898,7192,3816,8783,4324,8121,4933,2756,3657,2002,2622,1819,2229,949,1840,326,1147,38,496,0,0,0,0,0,0
2023-11,3호선,337,대청,102,0,4084,1095,11953,7423,32119,20435,41094,29191,23137,13431,16437,8909,14966,8489,14496,9882,15000,11262,13679,12156,17017,15379,21998,17086,26770,22899,27167,32053,12308,25376,8733,16303,6854,15895,4741,16074,1673,8462,223,3085,0,22,0,0,0,0
2023-11,3호선,338,일원,11,1,2391,1665,9207,11582,26649,34476,28746,27612,19594,21336,19181,18570,19303,14078,19291,16871,16897,17951,18947,17247,24970,16239,34447,15549,39403,17941,20011,24137,11136,18930,7440,12259,5425,11337,3802,11936,1562,4926,130,1749,0,40,0,0,0,0
2023-11,3호선,339,수서,141,3,5083,2572,12584,18214,39728,37634,49060,58116,32847,38224,37084,26228,26214,22212,36131,27651,31175,23561,24370,25103,35285,30306,40610,34135,49832,40860,53818,56593,24921,41671,25231,27968,16102,24836,15282,22257,7794,8812,634,3203,2,206,0,0,0,0
2023-11,3호선,340,가락시장,59,3,2956,665,7260,6302,22641,12526,24032,27675,17730,15663,15004,11108,14414,11853,14247,12953,15028,13641,14836,14365,16043,16460,17620,17668,23063,21512,27962,27930,12800,19517,9520,12434,8362,11142,6074,10004,2597,5223,353,1763,4,93,0,0,0,0
2023-11,3호선,341,경찰병원,5,0,2829,313,8056,3638,24004,9254,28877,28638,17003,16244,12147,8746,10895,6786,10103,7931,9789,9858,9769,9038,10783,9352,10760,11125,16245,15777,21336,24084,7470,18222,6304,11128,5096,9716,3373,8778,1008,5273,172,1394,0,33,0,0,0,0
2023-11,3호선,342,오금,56,0,4347,9,8985,2850,30212,6333,34103,13998,17204,6714,10343,5152,8586,4567,8990,5734,8504,6582,7391,7041,7185,8993,9086,10883,11173,15081,12307,23019,4738,17583,3632,11534,3008,9849,2903,10859,1424,5739,115,2292,0,50,0,0,0,0
2023-11,4호선,409,당고개,129,1,9211,36,17981,4707,46725,6010,40704,10815,24318,10492,17127,9136,15038,9572,15392,10138,14792,11733,13060,11386,12779,14384,14965,17409,13389,20460,12188,29184,7565,27218,5115,17399,4254,16140,3015,14335,1418,10151,309,3600,1,435,0,0,0,0
2023-11,4호선,410,상계,38,2,15582,276,39444,6877,94864,18255,81166,21908,47557,16950,32086,15122,28695,16359,31362,21120,28467,21691,24527,23246,24799,29058,27206,37609,27170,49162,23702,70563,15219,64631,12251,37409,11144,33506,10851,31640,3558,20677,612,5913,2,592,0,0,0,0
2023-11,4호선,411,노원,226,2,12985,829,24655,8230,54690,13561,60598,35029,35554,33544,27392,25223,26926,25127,30840,29334,29601,34313,29297,32543,31020,37580,34681,45174,34955,60954,34297,88318,24007,69520,25882,38908,24145,34640,21810,30406,10445,19926,2178,6398,5,724,1,1,0,0
2023-11,4호선,412,창동,2456,54,17738,2962,41001,12481,92547,19582,85572,41707,53897,33176,42364,30056,40644,29709,42451,37010,39595,43921,37934,44690,41939,50134,48496,57099,46379,71415,46953,96242,25952,81070,21097,46877,18817,41500,14651,38054,6646,23681,1228,8400,1,109,0,0,0,0
2023-11,4호선,413,쌍문,236,22,25636,1258,54143,9020,129228,14820,133846,29225,82366,21689,54488,20387,46994,22018,47008,26001,42159,29503,36224,32010,34559,44036,37467,56689,38040,73474,34369,105708,21679,102673,15845,62462,13075,54395,10012,50786,4461,33054,634,10225,0,12,0,0,0,0
2023-11,4호선,414,수유(강북구청),95,3,23725,3336,48543,10863,115275,20881,130233,57184,83075,41416,56083,30883,52772,33706,55476,36024,51844,41656,48739,44868,49113,54520,54995,71809,59354,88607,65444,126339,36926,112378,28334,71011,24682,62090,20436,57968,11289,38387,1918,9710,0,1,0,0,0,0
2023-11,4호선,415,미아(서울사이버대학),23,1,11598,1831,21590,8197,48501,16220,54775,40298,34527,22403,25634,16427,25021,20127,26260,17666,24612,19605,23988,21756,24553,26022,28680,30410,32244,36688,30220,47378,17407,39847,11707,24638,9544,22354,8296,19577,3019,13081,450,3626,0,0,0,0,0,0
2023-11,4호선,416,미아사거리,79,11,16511,2801,37997,8932,95622,20757,101117,34572,63722,30788,43631,28666,40291,30069,42167,31676,42155,35444,40082,38641,43142,48606,48216,57524,44075,73729,42826,103470,30604,81291,28899,48883,18187,42856,13159,38000,6091,22303,974,5646,1,1,0,1,0,0
2023-11,4호선,417,길음,30,1,10702,2038,35181,8198,91692,15158,92008,37323,53918,28194,35457,25847,31222,26965,33401,26096,31817,29309,29232,32127,32425,33315,38310,42970,40275,58547,37590,82985,19371,67025,15587,41075,12476,37585,12742,35863,4456,21153,686,6265,0,0,1,1,0,0
2023-11,4호선,418,성신여대입구(돈암),24,4,6373,1879,19592,7422,49512,17241,55398,46047,40426,29755,30632,24125,32027,32462,34746,28875,34425,30790,36652,34701,38610,34093,42761,41261,52004,53459,51196,71236,32354,56910,30063,36527,31905,32685,28134,29942,13296,20095,2193,6588,1,3,0,1,0,0
2023-11,4호선,419,한성대입구(삼선교),39,0,6585,1269,13007,7863,31688,18939,38171,34143,27257,28015,20365,23793,20407,21407,23709,22634,24358,22909,24193,21726,27256,22285,36046,26266,38048,31935,34524,37158,21256,29971,18401,19530,16165,18743,11741,17500,5408,11257,819,5385,3,1682,1,2,0,0
2023-11,4호선,420,혜화,17,1,3516,2347,7612,22849,18299,53700,23214,130913,26447,97373,33485,75929,45349,73290,46862,83360,49550,96764,60884,85411,91535,67837,101619,67603,121769,78749,129442,88615,75905,59827,77293,23457,110573,20930,94800,17666,33936,11494,4554,3393,1,569,0,0,0,0
2023-11,4호선,421,동대문,290,5,4645,2582,3378,14171,5191,34160,7998,70124,12791,67105,18778,59710,25805,53744,32521,48435,38447,43957,47433,41323,56493,35246,68825,27964,88531,23209,63157,22146,34953,23133,26493,16169,25886,11530,20317,8274,9384,6518,1619,1535,2,159,0,1,0,0
2023-11,4호선,422,동대문역사문화공원(DDP),343,0,6337,1524,5198,13375,8969,29521,14245,67571,17859,41785,19465,30920,21245,27454,22680,26530,25041,27368,31087,27357,38614,25179,45881,24451,65590,27208,80822,31317,44880,31316,35852,20731,32405,17248,28159,14471,14812,9100,2919,2878,1,169,0,0,0,0
2023-11,4호선,423,충무로,79,2,3471,3233,5820,24830,13220,61858,21766,191566,27349,112037,30004,69316,34209,53566,34116,49892,41396,48899,47829,41090,56819,38320,70078,41559,112330,48220,164956,51269,74952,31580,59728,22190,56806,21260,42227,20188,22950,13937,4692,4386,4,225,1,2,0,0
2023-11,4호선,424,명동,28,0,1511,1076,4122,20444,8567,55703,16664,130133,31282,105229,36938,69594,42963,66924,43940,71931,47423,72197,56997,67633,73453,72700,86012,75706,108692,83489,146080,79945,86086,57512,82580,40795,80075,28670,68613,18323,25656,10306,1934,3517,0,194,0,0,0,0
2023-11,4호선,425,회현(남대문시장),9,0,1319,729,3216,20876,5552,53445,9152,146374,12926,108666,17824,81781,28336,75470,38522,62183,49341,56279,60820,52232,73144,45099,89070,35358,113676,30635,132982,26103,64494,14685,60685,8445,25051,7487,14034,5728,4699,3699,608,1203,0,66,0,0,0,0
2023-11,4호선,426,서울역,257,3,4655,861,6450,17583,12614,41322,16947,90347,15128,64094,13771,33921,15768,31688,16575,34888,16587,36232,16840,32677,19063,36772,26403,39356,52610,45522,64994,45480,26219,33902,16978,24304,14737,22749,10588,18572,4901,8969,639,2858,0,263,0,0,0,0
2023-11,4호선,427,숙대입구(갈월),25,3,2998,633,8045,8164,18700,24111,29145,57857,21354,34770,17746,28307,17964,23095,23328,20622,23548,22615,23559,19967,28918,20483,39999,24676,45457,33861,55674,42863,28178,27139,24267,17523,26538,15941,20938,14624,10108,9313,1309,2184,0,0,0,2,0,0
2023-11,4호선,428,삼각지,5,1,771,344,2077,5653,7223,13378,11373,21249,6790,12302,5687,9920,6007,10207,6877,10743,7785,11022,8952,9972,9505,10832,10994,13368,17103,17644,25012,25099,12402,15316,11405,8240,14371,6437,12899,5427,6816,3812,832,1393,2,4,0,1,0,0
2023-11,4호선,429,신용산,7,0,1576,1189,4376,14785,12502,41004,19951,98078,16175,74543,14962,33677,18936,28679,19958,30348,24516,30610,23947,28150,32296,30043,43253,33363,70550,40725,101506,48676,48324,28139,38359,16347,38670,12141,27249,8841,12071,4688,1462,1294,1,1,0,1,0,0
2023-11,4호선,430,이촌(국립중앙박물관),17,0,1189,876,5005,7082,13648,13864,18888,27075,12950,21981,10188,18144,11561,15414,16483,16033,15664,18823,16079,17152,19967,17276,26407,16646,28342,17230,24747,22341,9861,14650,8005,9407,7790,8571,4421,7585,1481,4218,178,1363,0,48,0,0,0,0
2023-11,4호선,431,동작(현충원),8,0,200,247,506,2108,1862,2899,2708,5014,2009,3530,1689,2520,2055,1940,2044,2074,1905,2544,2060,2509,2998,2549,3463,2438,4952,2707,4573,3318,1794,2207,1708,2082,1636,1114,972,792,394,572,81,342,1,97,0,0,0,0
2023-11,4호선,432,총신대입구(이수),105,3,6453,906,17335,9115,49463,18915,64064,45242,40775,30690,29527,24634,27695,24590,30317,27070,32037,30192,29598,32355,29316,39293,32322,46316,36423,58310,43548,81182,24671,48606,24574,29557,19457,25616,16599,22791,7610,13072,1058,3419,3,672,0,0,0,0
2023-11,4호선,433,사당,253,70,10767,1392,26758,18946,71528,26789,83968,38867,65664,29878,42518,25403,37206,32231,38213,33380,39267,29743,38245,29437,37873,35238,42103,47516,49027,71198,52796,101194,35883,63135,34640,37015,37675,33794,33844,31649,16402,20700,1982,6059,7,684,0,0,0,0
2023-11,4호선,434,남태령,27,0,610,55,997,1408,2523,3676,3815,5706,2925,2119,2190,1323,2295,1218,2361,1399,2183,1491,2136,1448,2212,1574,3335,1755,5675,1811,4178,2015,1578,1654,933,1456,705,1322,308,996,183,624,28,155,0,0,0,0,0,0
2023-11,경부선,1001,서울역,18,1,46,582,117,4465,12359,7266,23859,7926,19414,6059,15652,4691,18637,2839,19816,4575,17999,4380,8730,4032,20333,4730,21331,5424,21358,9109,24023,10024,19823,6122,16225,3912,18795,3868,14035,3003,7514,655,928,51,0,0,0,0,0,0
2023-11,경부선,1002,남영,105,3,2746,1326,4758,9133,13498,26759,20687,55228,12654,31320,9866,17195,11037,13883,12513,13158,12406,13426,13664,12211,19357,12790,25307,14971,34195,19470,42335,26576,17730,16323,15225,10802,16294,10101,12561,8542,5056,5467,104,638,0,0,0,0,0,0
2023-11,경부선,1003,용산,382,13,4710,5799,6009,39421,23329,86298,34311,159079,40968,120038,36483,85860,53151,75545,51081,79006,64967,79003,52733,75167,95034,79571,110114,79900,132710,86438,166862,92382,109118,60372,106113,40333,100318,27679,69214,14162,24302,6731,508,1507,0,0,0,0,0,0
2023-11,경부선,1004,노량진,503,8,4864,2028,7353,5944,18944,8198,25482,15159,14908,10874,10680,9706,11054,13031,12406,14400,15961,13795,15633,13335,16541,15316,17557,21169,19232,31132,19547,46697,14721,24581,14676,13464,16809,12437,16740,10349,6039,6555,209,810,0,0,0,0,0,0
2023-11,경부선,1005,대방,511,10,5065,2033,9940,8543,27037,31843,33312,44308,20463,22771,15052,12620,13866,12026,15291,13289,14946,15083,14857,13823,16105,15370,17940,18212,30673,26224,36935,35954,13773,22198,10521,15216,9159,14566,6538,13434,1895,8696,77,1469,0,0,0,0,0,0
2023-11,경부선,1006,영등포,4239,126,16923,7164,17980,25418,42780,61152,61110,133157,42922,96828,40441,74500,46118,77925,54633,85100,59068,92175,60480,78281,85625,78764,100676,83516,122851,98980,163063,116740,97242,73295,94941,40560,73789,32630,61115,26431,22848,15592,581,2951,0,0,0,0,0,0
2023-11,경부선,1007,신도림,480,14,2302,810,3861,2900,9424,7044,11915,15919,6562,7742,4437,5346,4311,4798,4890,5120,4988,5729,4797,5152,5351,6541,6658,7450,10003,10308,13895,14310,6181,8216,4842,4892,5103,4304,3541,3684,1459,2208,57,828,1,0,0,0,0,0
2023-11,경부선,1032,신길,834,5,10406,2226,11237,5736,25024,18016,34408,27553,19873,11183,11873,6994,10343,6628,12748,7504,11173,8562,10278,8335,10873,10577,13730,12588,21018,17171,27810,23378,10658,16311,8179,11760,7091,12119,4703,10747,1804,6166,82,1198,0,0,0,0,0,0
2023-11,경부선,1701,구로,12663,36,23634,4363,19066,13715,40271,30949,38654,74231,27689,41551,21129,28039,21408,23332,23461,22634,24502,24331,25052,23734,28442,25876,35035,31130,53474,40382,58094,44945,25659,31076,20111,21024,17324,19671,11422,17560,4248,13572,15,11240,0,1,0,0,0,0
2023-11,경부선,1702,가산디지털단지,1686,8,8470,3346,7402,15656,16072,58298,16400,153261,11993,74783,10508,22973,12244,15834,14309,16074,15157,17156,16318,16226,20834,16440,30732,19453,75237,26187,110181,30043,43454,21404,26465,13814,21485,12659,14695,11082,6352,6206,245,997,0,0,0,0,0,0
2023-11,경부선,1703,금천구청,574,3,11945,1632,19925,6236,47233,15832,45500,30731,26176,12298,18165,9803,16080,9737,16877,12198,15358,14995,13544,13700,14219,18418,16103,22702,17915,29444,26801,45762,10864,34977,8200,17533,6841,18139,4715,14157,1459,9221,54,669,0,0,0,0,0,0
2023-11,경부선,1704,석수,382,3,8330,2745,16679,8459,38977,12614,38081,16069,21069,10657,14562,8034,12310,6112,13053,7345,11390,8889,10421,8717,12242,11715,14816,14541,18595,21991,17273,34355,9687,25807,6277,14912,5077,14766,3458,13250,1244,7323,58,425,0,0,0,0,0,0
2023-11,경부선,1705,관악,306,0,8560,1659,13767,3983,36839,7060,32508,11932,16843,10276,11397,9834,10229,7327,11454,7795,10945,8028,9957,8253,10749,9756,12775,13509,12919,18492,11490,30435,6393,22973,4725,13184,4116,12641,2474,11288,1021,6972,57,628,0,0,0,0,0,0
2023-11,경부선,1706,안양,394,7,16128,5091,35511,15171,88133,22701,80321,51914,44718,53886,31991,36349,31382,33885,38025,34826,36575,39341,35237,31534,44626,37841,60974,44593,57411,62593,41255,91705,25799,66750,23427,38689,23265,30852,19356,25678,8401,18054,427,2136,0,0,0,0,0,0
2023-11,경부선,1707,명학,144,0,7034,2083,11257,9049,27808,26114,23473,59877,12713,15806,8835,9174,9115,13163,9873,8712,9622,10240,12383,9927,10812,7878,17750,9854,33189,12398,39986,21794,13655,17174,11315,9932,7650,8199,5190,8090,2011,6134,127,927,0,0,0,0,0,0
2023-11,경부선,1708,금정,551,14,24986,5959,40830,21853,97546,47512,96537,99599,56967,36462,38473,23440,33981,23822,36136,27138,34109,29253,31121,30320,33816,38769,42969,50049,70970,69946,80059,101722,36532,76928,29022,46253,24199,44118,17298,37565,7283,25171,485,9328,0,0,0,0,0,0
2023-11,경부선,1709,군포,27,1,5553,2395,9651,8951,19878,32827,19100,43891,10544,9399,7703,5097,7623,4657,8241,5802,7248,6342,6812,6055,7758,7052,10465,9160,25888,11246,35508,16059,11165,12596,9098,7547,5196,6521,2728,5799,1083,3702,66,612,0,0,0,0,0,0
2023-11,경부선,1710,의왕,84,1,6449,3565,13723,11126,29860,33856,28501,32582,14525,10980,10693,7429,11233,7046,11567,9146,9950,10094,10275,8439,13588,10294,20936,13109,30680,18381,25005,27313,11729,20217,8283,13249,6233,11362,3941,9778,1847,6718,105,1127,0,0,0,0,0,0
2023-11,경부선,1711,성균관대,170,4,10131,2339,31326,7114,74920,10545,62097,28410,31002,20924,21999,17584,20059,15914,22622,15950,20870,20220,19117,18067,21817,21794,29629,27960,30864,45627,27094,65042,16240,53115,13564,32310,12559,27261,10144,24953,4490,16672,243,2558,0,0,0,0,0,0
2023-11,경부선,1712,화서,436,24,9609,1908,25415,8878,47828,7449,38583,12085,17028,6962,12640,6496,11250,6749,11242,7779,9831,8949,9391,9309,10730,10575,15465,14923,13142,24670,11077,40466,6777,31989,4831,18132,3936,13488,3170,13227,1084,7954,60,1514,0,0,0,0,0,0
2023-11,경부선,1713,수원,1819,65,21862,5239,40127,31702,80136,55844,77886,84256,51926,75140,45391,67542,48902,64024,55442,76705,55387,71441,57644,69954,73846,71606,95474,88043,97534,104755,101634,133972,75990,96427,80655,55612,59955,42163,51793,35662,20210,22334,586,6937,0,0,0,0,0,0
2023-11,경부선,1714,독산,633,4,8613,2788,19890,13866,51090,49391,48201,108331,25522,51122,19612,17098,18419,12029,20005,13942,18361,15135,17917,13272,19971,17340,31727,20770,63695,30643,76576,45338,32144,39955,18086,21191,12882,22478,8093,19472,2711,11587,101,839,0,0,0,0,0,0
2023-11,경부선,1715,세류,490,0,4658,1337,9712,2805,17088,4205,11244,4118,6205,2797,4592,2663,4018,3010,3995,3515,3775,3298,3513,3472,4143,4099,5888,6129,7393,7525,5463,13566,3487,10305,2513,7060,2189,5885,1330,4225,424,2769,15,794,0,0,0,0,0,0
2023-11,경부선,1716,병점,3733,23,9485,3673,31232,11635,59933,21942,49604,32772,31686,22863,24846,17761,23828,15659,25691,21340,21314,19180,21495,20083,26987,24990,34542,32227,36679,45583,34659,55237,20418,45873,13675,31341,12372,25186,8598,22955,2896,16324,27,7127,0,1,0,0,0,0
2023-11,경부선,1717,세마,316,2,2575,1540,6029,4131,10956,4871,10295,11803,6455,2790,4308,2099,4026,2594,4322,2324,4640,3487,3866,3264,4617,3449,7499,6293,7874,7889,9157,10193,3122,8245,2253,5422,2245,4456,1252,4106,506,2214,62,201,0,0,0,0,0,0
2023-11,경부선,1718,오산대,256,1,3428,1228,7617,2720,14749,4154,11302,10701,6897,5431,5464,5339,5051,4719,5759,4229,6303,4944,5399,4706,7391,4456,10079,6938,9709,9997,9765,13086,4059,10738,3243,6051,2885,5326,1939,4208,976,2924,87,247,0,0,0,0,0,0
2023-11,경부선,1719,오산,557,1,8153,2051,15638,11423,27829,28515,28379,21513,20249,14902,17924,12549,16795,10507,18219,13084,15606,16183,15629,14272,17885,19405,22739,22997,26663,30144,27679,32240,15768,25408,12199,18393,8670,14226,5010,9721,2220,7898,96,740,0,0,0,0,0,0
2023-11,경부선,1720,진위,19,0,968,406,1732,2795,3198,9113,2815,8775,2129,2838,1616,1989,1753,1154,1906,1185,2104,1422,2023,1217,3187,1488,4458,1864,7895,2671,9519,2620,2882,2524,1757,1743,1280,1374,555,1182,218,810,8,54,0,0,0,0,0,0
2023-11,경부선,1721,송탄,77,3,5915,993,8117,3840,13317,6920,12440,9217,9616,4728,8170,4200,8136,4224,7532,6027,7637,6151,6640,6324,7694,7932,9955,9341,10072,13220,10338,12909,5589,12315,4020,10338,3393,7759,2160,7236,976,6145,64,612,0,1,0,0,0,0
2023-11,경부선,1722,서정리,97,3,4661,5060,12302,9416,18880,18845,18527,25220,14475,10990,12134,7562,11818,8264,13592,10182,11635,10698,12422,10821,15964,12839,22375,17822,41222,20626,24734,20146,13036,18278,9861,15105,7586,10743,4748,10830,2138,7966,95,901,0,0,0,0,0,0
2023-11,경부선,1723,평택지제,8,0,2427,9733,5170,11874,12407,13007,11054,8926,7411,4975,5881,3800,5861,4120,6394,4363,4937,4424,5455,4699,7868,5758,8699,7531,18501,9498,11146,10913,9828,9929,6361,6294,4980,5569,4480,5329,2213,3232,53,340,0,0,0,0,0,0
2023-11,경부선,1724,평택,124,3,7983,3049,14604,9343,29914,17387,31009,28768,27142,24618,23192,18595,21717,21356,22676,24148,23718,23273,23469,26426,25681,28002,30916,34695,35502,43470,32611,41237,22047,27769,22177,20098,15331,16634,13143,12835,7117,7343,130,1924,0,0,0,0,0,0
2023-11,경부선,1725,성환,23,0,2407,852,4194,2721,6900,13478,6684,23366,6982,26517,6605,10802,7149,6626,11253,9100,10900,10466,11116,6036,17187,5966,27137,7644,23445,9280,16178,8555,6659,6886,5638,6676,3525,5520,2503,5538,1095,4667,133,1105,0,0,0,0,0,0
2023-11,경부선,1726,직산,79,0,1092,345,1567,1228,2169,3258,2212,3567,1550,1282,1345,862,1485,935,1143,1099,1138,1053,1118,1178,1574,1183,1713,1497,3651,2135,3368,2266,1125,1835,819,1228,683,992,318,829,158,743,30,124,0,0,0,0,0,0
2023-11,경부선,1727,두정,1236,2,6449,1330,10280,4023,19305,12387,17843,22928,16063,22461,11469,17082,12292,12145,14310,14924,14300,12429,13553,10892,17221,10763,19215,15872,20598,19579,18793,27084,11142,17808,8749,14226,8152,10702,5496,10254,2724,8308,38,2267,0,0,0,0,0,0
2023-11,경부선,1728,천안,1891,4,3562,854,6185,3323,11719,7127,11520,16524,15072,14975,11167,13834,13136,13431,13773,14718,13216,13431,18934,12727,21860,13962,23955,14251,21527,20328,18392,21049,11285,12446,8947,9486,6133,7197,3932,5403,2331,3428,18,2041,0,0,0,0,0,0
2023-11,경부선,1729,당정,17,1,4204,1026,11307,3438,27309,9020,25446,17572,12626,10235,8963,6569,8455,5228,9996,6372,8407,6212,8167,6421,9081,7606,10633,10180,13440,14879,14470,21865,5887,17443,4778,11435,3877,9860,3104,9318,1208,6433,94,1016,0,0,0,0,0,0
2023-11,경부선,1749,서동탄,2,0,1496,14,6036,818,11306,1718,4641,1270,2767,910,1741,733,1651,923,1400,1120,1319,1178,1342,1335,1540,1978,1490,2074,1968,3474,2016,5097,989,5628,833,2684,501,2252,363,2595,105,1551,5,1155,0,8,0,0,0,0
2023-11,경부선,1750,광명,1,0,18,1490,3787,3335,12834,7431,11182,8073,7130,6430,4185,4278,7639,2735,5579,8689,5244,168,3842,8520,9533,4493,3506,5715,10484,7644,11125,13054,8765,7646,3303,4442,7710,3189,2772,4610,1252,110,0,0,0,0,0,0,0,0
2023-11,경인선,1801,개봉,1395,6,19615,6871,40152,11725,99221,15156,91561,23788,55878,21144,37941,16757,33365,19736,33406,25973,30323,25770,26718,29396,27713,34463,31807,47903,32915,65433,30835,91884,17864,68964,14309,42682,11361,38340,9023,32413,3243,17916,48,1355,0,0,0,0,0,0
2023-11,경인선,1802,오류동,528,2,13762,1936,20472,5093,51629,5230,49755,11655,30698,10443,22050,8655,19466,9524,19693,12027,17786,12983,14895,15053,14802,17798,15662,23569,15441,30515,13541,44080,8395,38862,6335,23748,5762,20729,3950,18701,1810,12269,28,1004,0,0,0,0,0,0
2023-11,경인선,1803,역곡,1027,16,29484,3077,47968,9265,121221,14149,117869,37291,67734,39392,43227,24993,38333,29252,40991,29549,38618,31844,33405,34589,35265,38901,42193,57620,44156,76378,39029,117856,23065,94210,19066,51660,16334,49968,14260,42343,5888,28821,149,1606,0,0,0,0,0,0
