사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-11,2호선,208,왕십리(성동구청),809,7,6781,1044,9954,8347,26285,14001,47155,29032,29906,20022,20439,15901,19755,16625,22376,18358,23153,20260,22785,19496,26108,22169,33455,26764,36783,38158,37165,57602,24679,35972,23807,22251,27627,20536,26761,19476,15274,12808,2920,5268,6,232,0,0,0,0
2023-11,2호선,209,한양대,1,0,1197,586,2556,7078,5768,13297,9838,70506,7329,61913,9070,55673,19352,21918,20538,41036,19237,28701,26199,23767,39518,19947,46503,14440,57837,16536,46838,21167,21272,10568,18453,6560,20938,6099,12409,5926,6523,4147,1551,1382,7,76,0,0,0,0
2023-11,2호선,210,뚝섬,4,0,3205,2430,8093,17009,19162,42323,27601,144430,18362,100065,15496,46574,17698,36031,21821,35897,26706,38794,31326,35320,41134,35813,53084,36491,86441,42484,140115,49885,69005,28404,46873,15091,43047,13105,28865,11792,11390,7435,1733,2861,3,139,0,0,0,0
2023-11,2호선,211,성수,55,2,5507,3631,9418,33123,23244,73060,32574,264212,24699,165095,22408,84264,26747,66245,33925,67529,42994,73934,52059,70307,65541,68870,86691,69148,144889,72953,259704,78486,122301,44737,86804,21618,75798,17541,53161,14925,22003,10950,3140,5112,15,802,0,0,0,0
2023-11,2호선,212,건대입구,293,4,15153,2044,22294,15842,55840,25424,99065,65710,66377,54871,40963,45474,39651,46481,45492,52613,48463,57667,51548,57086,56234,63372,65961,76421,78112,108378,89177,156846,65771,106184,66072,65054,70341,60695,70408,54956,42990,33458,7338,11411,34,1008,0,0,0,0
2023-11,2호선,213,구의(광진구청),45,0,14046,1498,26868,24140,71436,17303,123274,42023,77058,24515,39535,20815,32113,20800,33207,22951,32357,27055,29426,29321,30927,36802,42538,44331,43395,62152,46540,100191,24562,71322,18862,46425,17433,43823,15925,41646,8238,23946,1354,7485,14,337,0,0,0,0
2023-11,2호선,214,강변(동서울터미널),35,2,9049,2026,28419,21267,80117,24773,120054,43777,89710,35919,66336,37349,55703,35107,53530,38914,50568,44325,46014,50237,47394,58118,51652,66552,56950,83066,61011,113823,43199,78156,35293,53385,28286,45226,17611,41842,6910,21212,906,5631,7,260,0,0,0,0
2023-11,2호선,215,잠실나루,27,3,3446,2955,13028,15889,39568,23556,51198,41263,34234,28661,26730,20895,26423,18120,24855,22203,22814,23196,24203,21150,27535,21807,36786,23662,40206,30698,31860,42504,14992,30622,11447,19640,8157,18162,6221,17226,2666,9724,396,2877,5,211,0,0,0,0
2023-11,2호선,216,잠실(송파구청),97,7,13349,5044,50966,36164,126432,83391,173856,184975,128323,185639,85505,127153,84973,121367,93239,118454,103592,122836,114030,125444,131592,137214,159193,156546,202177,200549,247782,253681,171329,164874,176953,102839,158781,95068,104637,85766,31653,44842,4750,9421,26,626,0,0,0,0
2023-11,2호선,217,잠실새내,46,3,5667,954,17941,8779,61318,17285,89395,30124,56390,31549,36578,24581,33932,26614,34739,31797,34854,34682,30598,36576,34877,42625,37977,50845,42403,68904,45214,94620,32161,64292,28364,37981,27276,33998,27339,31877,14633,16302,2429,5231,10,333,0,1,0,0
2023-11,2호선,218,종합운동장,10,1,1571,760,6356,9526,17465,19934,24786,28031,17873,14464,12426,14308,11525,13704,14123,18317,15952,24304,15849,19250,14567,16803,25137,24834,35635,46251,22632,56662,13757,24027,10652,11370,43762,12166,28172,10760,3993,5812,378,1822,3,85,0,0,0,0
2023-11,2호선,219,삼성(무역센터),157,0,4451,5591,6954,45129,14871,143026,20442,352815,22186,274715,25620,129436,38258,90289,51429,80231,67245,86920,82244,76403,106707,65639,141393,65184,245681,73577,323059,73933,162734,38878,129399,19261,108561,15377,72188,11884,18730,6603,2502,3215,7,685,0,0,0,0
2023-11,2호선,220,선릉,215,4,4722,6593,11402,44462,21831,121440,36689,288622,35961,233105,39577,114360,49541,70133,59750,63161,68781,71782,79540,58594,103400,52401,132021,51595,217243,60447,301650,62719,152699,38420,95013,22508,91503,20482,73820,18601,26340,10810,4242,4967,17,278,0,0,0,0
2023-11,2호선,221,역삼,74,0,3775,6852,9168,43346,16072,155327,28152,375249,25285,315780,25830,144449,34602,69592,42681,61769,50538,67086,62053,53340,83116,47162,107944,46481,237390,57652,285501,65443,160397,39286,93003,22940,84769,20072,57093,17520,22048,9849,3579,3415,12,198,0,0,0,0
2023-11,2호선,222,강남,162,7,8112,11207,17751,55474,39477,149102,64983,305283,56303,314465,53286,158070,68076,103798,85501,97831,99453,112747,111887,101628,137415,97295,169207,107648,254265,136980,318312,183085,212290,108152,164154,56718,184563,46751,157222,40403,73235,22813,13559,6868,45,357,0,0,0,0
2023-11,2호선,223,교대(법원.검찰청),12,0,2497,6950,10916,26120,25729,56152,38581,159758,30346,144625,27543,71916,32159,59199,34639,54561,41716,58415,51218,51601,55157,49115,60736,52638,105034,67731,136478,78536,64704,44632,54281,26362,54101,23830,40008,22178,16273,11737,3506,3436,13,113,0,0,0,0
2023-11,2호선,224,서초,4,0,2077,4327,9445,22000,18935,55950,29842,117010,29396,100424,22964,50571,29687,34435,29831,26634,35858,27897,37491,25747,44745,22350,52331,25205,77630,29232,98184,31335,47919,21631,34153,11798,32527,11307,22020,11010,6336,5688,930,1580,5,73,0,0,0,0
2023-11,2호선,225,방배,8,0,2663,2760,9467,12417,23507,27763,33489,77197,26262,60057,20082,35448,21790,27967,23288,28456,26670,27191,30498,25891,34577,25745,41919,27763,53002,33870,66695,39095,30547,27851,25321,17591,24662,16890,19838,16316,7764,9219,1735,2981,12,109,0,0,0,0
2023-11,2호선,226,사당,146,12,12293,4291,27692,36306,78212,50751,102554,71647,78416,52494,51166,44508,45324,53697,50319,54845,54255,51254,58270,51561,61306,63156,66409,86016,80143,126446,99816,175601,69526,122495,67225,71074,74300,64873,68767,62175,38100,37427,6533,11634,48,814,0,0,0,0
2023-11,2호선,227,낙성대(강감찬),37,1,12033,2287,27609,10350,86828,20225,133794,42209,83979,34676,44812,28870,37320,24646,40259,26758,39603,30391,35414,30419,36949,37239,41011,44382,46861,61567,51261,101515,28821,91098,22793,56707,22501,54855,16669,53152,8728,32710,1701,10257,10,431,0,0,0,0
2023-11,2호선,228,서울대입구(관악구청),5361,15,28748,2654,44886,14092,133086,28345,177695,71499,122297,65579,70413,55323,60323,44704,66075,49279,67167,55497,61294,55206,67100,65444,73731,77961,86544,107809,93598,173278,53860,146872,46995,88002,47546,83872,42701,79229,23698,49819,4382,18328,12,1905,0,0,0,0
2023-11,2호선,229,봉천,77,3,16199,1740,29657,7379,87278,13499,127339,26792,77387,20546,43972,18993,33243,22072,35531,23110,34668,25525,31722,28594,28419,37141,32269,42783,31660,58203,31509,88889,18924,77998,15712,47157,13402,43598,10658,40300,4861,25103,937,8381,9,500,0,0,0,0
2023-11,2호선,230,신림,249,7,38641,3793,70117,16238,193280,26182,280940,44437,168962,42953,91674,39698,73900,42018,79170,47983,73677,55358,67253,59514,64871,77832,71436,97041,75382,133104,76727,217527,49478,198462,42265,123472,40004,117717,34432,106510,20217,70902,4239,21957,32,1154,1,1,0,0
2023-11,2호선,231,신대방,225,0,25038,1974,35038,9518,94432,15403,139925,25832,86069,19224,46240,18111,36863,18893,37451,21840,35060,26001,30124,29683,29818,39693,31612,46729,33729,64519,32704,94849,19173,85834,15317,56690,12364,60171,9743,55265,4758,31939,976,9217,9,512,0,0,0,0
2023-11,2호선,232,구로디지털단지,321,15,39199,5183,54705,19806,149234,83597,195106,228143,119176,145637,69422,61883,60723,44517,66763,48303,66462,58535,61032,57306,65470,65853,82226,80743,138272,114166,209631,167602,100826,139209,63783,87476,53822,86875,41859,80178,18780,49144,3535,14058,21,814,0,0,0,0
2023-11,2호선,233,대림(구로구청),649,29,34598,3362,29663,9976,68137,22776,97662,55954,63229,37197,40287,32068,34576,34425,36505,32517,35597,33895,32664,34680,35198,41875,39007,50916,45180,62437,51103,69161,25770,53709,18556,39897,14642,48148,10252,44437,5174,22876,707,5748,8,420,0,0,0,0
2023-11,2호선,234,신도림,3997,21,37516,4728,55738,21106,144950,45710,156257,113376,95809,73741,63324,63848,60706,61358,69806,64810,71038,69469,71789,66239,78112,77308,85955,89600,107017,120335,126455,177468,73064,129950,61491,76214,62981,71819,44560,68062,20306,49503,2747,22403,27,2283,0,0,0,0
2023-11,2호선,235,문래,14,1,4043,2295,14706,10877,46366,37479,54286,134493,29609,67211,20982,26668,21103,22543,26183,25862,25842,27222,26086,24895,29326,26535,36257,30777,64167,42209,112336,62123,41330,44980,28957,23632,29756,20428,23084,18026,10689,11204,1789,3676,12,192,0,0,0,0
2023-11,2호선,236,영등포구청,59,1,5685,3583,12789,15677,41488,39130,51432,126507,31553,53467,22897,26872,24154,24358,26573,25766,27625,28173,29512,26667,31305,27545,38523,30926,60379,40322,106324,58666,36704,39337,28009,23082,26086,21261,19411,18773,8621,12716,1616,4818,5,339,0,0,0,0
